title,price,availability,rating,category
A Light in the Attic,51.77,In stock,3,Poetry
Tipping the Velvet,53.74,In stock,1,Historical Fiction
Soumission,50.1,In stock,1,Fiction
Sharp Objects,47.82,In stock,4,Mystery
Sapiens: A Brief History of Humankind,54.23,In stock,5,History
The Requiem Red,22.65,In stock,1,Young Adult
The Dirty Little Secrets of Getting Your Dream Job,33.34,In stock,4,Business
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,In stock,3,Default
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,In stock,4,Default
The Black Maria,52.15,In stock,1,Poetry
"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,In stock,2,Default
Shakespeare's Sonnets,20.66,In stock,4,Poetry
Set Me Free,17.46,In stock,5,Young Adult
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,In stock,5,Sequential Art
Rip it Up and Start Again,35.02,In stock,5,Music
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,In stock,3,Music
Olio,23.88,In stock,1,Poetry
Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,In stock,1,Science Fiction
Libertarianism for Beginners,51.33,In stock,2,Politics
It's Only the Himalayas,45.17,In stock,2,Travel
In Her Wake,12.84,In stock,1,Thriller
How Music Works,37.32,In stock,2,Music
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",30.52,In stock,3,Food and Drink
Chase Me (Paris Nights #2),25.27,In stock,5,Romance
Black Dust,34.53,In stock,5,Romance
Birdsong: A Story in Pictures,54.64,In stock,3,Childrens
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,22.5,In stock,3,Default
Aladdin and His Wonderful Lamp,53.13,In stock,3,Default
Worlds Elsewhere: Journeys Around Shakespeareâs Globe,40.3,In stock,5,Nonfiction
Wall and Piece,44.18,In stock,4,Art
The Four Agreements: A Practical Guide to Personal Freedom,17.66,In stock,5,Spirituality
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,31.05,In stock,3,Nonfiction
The Elephant Tree,23.82,In stock,5,Thriller
The Bear and the Piano,36.89,In stock,1,Childrens
Sophie's World,15.94,In stock,5,Philosophy
Penny Maybe,33.29,In stock,3,Default
Maude (1883-1993):She Grew Up with the country,18.02,In stock,2,Default
"In a Dark, Dark Wood",19.63,In stock,1,Mystery
Behind Closed Doors,52.22,In stock,4,Thriller
You can't bury them all: Poems,33.63,In stock,2,Poetry
Slow States of Collapse: Poems,57.31,In stock,3,Poetry
Reasons to Stay Alive,26.41,In stock,2,Nonfiction
Private Paris (Private #10),47.61,In stock,5,Fiction
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,23.11,In stock,5,Nonfiction
Without Borders (Wanderlove #1),45.07,In stock,2,New Adult
When We Collided,31.77,In stock,1,Contemporary
"We Love You, Charlie Freeman",50.27,In stock,5,Fiction
Untitled Collection: Sabbath Poems 2014,14.27,In stock,4,Poetry
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",44.18,In stock,4,Nonfiction
Unicorn Tracks,18.78,In stock,3,Fantasy
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",25.52,In stock,1,History
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),16.28,In stock,1,Sequential Art
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,31.12,In stock,3,Nonfiction
This One Summer,19.49,In stock,4,Sequential Art
Thirst,17.27,In stock,5,Fiction
The Torch Is Passed: A Harding Family Story,19.09,In stock,1,Nonfiction
The Secret of Dreadwillow Carse,56.13,In stock,1,Childrens
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",56.41,In stock,1,Food and Drink
The Past Never Ends,56.5,In stock,4,Mystery
The Natural History of Us (The Fine Art of Pretending #2),45.22,In stock,3,Young Adult
